"name","osm_id","lon","lat"
"Cabinn City","25498524",12.5708002,55.6705905
"Cab-Inn","277055805",12.5503985,55.6795619
"Cab-Inn Scandinavia","277055819",12.5555225,55.6808153
"Scandic Front","279567568",12.593295,55.6813212
"The Square","279691844",12.5669727,55.6761571
"Copenhagen Strand","279692554",12.590152,55.67723
"Copenhagen Island","279711047",12.5632675,55.6633682
"Comfort Hotel Vesterbro","280530672",12.5591356,55.6728626
"Ibsens Hotel","281062214",12.566266,55.6846523
"DGI-byens Hotel","281254296",12.5640943,55.6689142
"Savoy","281254689",12.5563501,55.6725796
"Avenue","281544397",12.5524304,55.684789
"Hotel Sankt Annæ","282272245",12.5917532,55.6812356
"Phoenix Copenhagen","282272266",12.5889295,55.6829397
"Hotel Christian IV","282272639",12.5834327,55.6845384
"Best Western Plus Airport Hotel Copenhagen","297309578",12.6420358,55.6371074
"Ansgar","298795705",12.5637437,55.6708191
"Løven","298795715",12.5569343,55.6726976
"Tiffany","298795733",12.5631637,55.6708934
"Go Hotel Saga","298795772",12.5624497,55.6715774
"Hotel Du Nord","298796069",12.5619597,55.6720731
"Hebron","298796142",12.5607845,55.6726211
"City Hotel Nebo","298796151",12.5627761,55.6723046
"Comfort Hotel Excelsior","298796162",12.5616921,55.6726087
"Andersen Hotel","298796166",12.561113,55.6718769
"Mercur Hotel","298796189",12.561795,55.6765536
"Richmond Hotel","298796192",12.562586,55.678613
"Kong Arthur","299629927",12.5649941,55.6847597
"Comfort Hotel Esplanaden","300633929",12.5932342,55.6873256
"Adina Hotel Copenhagen","340033653",12.5934474,55.6979906
"Hotel SP34","388246510",12.566462,55.6787261
"Hotel West","724360005",12.5523627,55.6718007
"Central Hotel & Cafe","735030035",12.5515186,55.6739396
"Hotel Bethel","783281649",12.5909843,55.6794098
"Hotel Maritime","783317700",12.5894719,55.6775061
"Hotel City","783317723",12.5889809,55.6773527
"Hotel Amager","899219773",12.599445,55.6657036
"CPH Living","943878935",12.5800651,55.6701818
"Rent a Room","1611136066",12.5967924,55.6678939
"Scandic Palace Hotel","2363337466",12.5703021,55.6762339
"Rye115","2428941435",12.5763723,55.6977279
"Carlton Guldsmeden","2476436768",12.5525497,55.672976
"Cottage Farm","2555513787",12.6469895,55.6019866
"Livjæger Hotel Pension","2845077943",12.5875014,55.6971357
"Church of Scientology Hotel","3887005209",12.5584646,55.6730773
"Babette Guldsmeden Hotel","4001191954",12.5931312,55.6874714
"Manon les Suites","4011664516",12.5612532,55.6803806
"Imperial","4013660820",12.5616263,55.6756448
"Guldsmeden København","4333065202",12.5524159,55.6727216
"Absalon Hotel","4334850949",12.561597,55.6716638
"Four Points Flex by Sheraton Copenhagen City","4402358765",12.5612214,55.6715632
"Ascot Hotel","4460697542",12.56538,55.67687
"Hotel Alexandra","4460697679",12.56607,55.67701
"MS Mary","4509704364",12.5929566,55.6792814
"Hotel 9 små hjem","4933387994",12.5844639,55.6972305
"Axel Guldsmeden","4947191207",12.5620262,55.6720873
"Hotel Sanders","5304900474",12.5875614,55.6784296
"the Socialist","5731905000",12.5827207,55.6788948
"CitizenM Rådhuspladsen","6699489668",12.566396,55.676601
"Good Morning City Copenhagen Star","6699489670",12.5625434,55.6719041
"Wakeup Bernstorffsgade","6754266536",12.571691,55.669055
"Turist Hotellet","6761760998",12.5634589,55.6716956
"Annex Copenhagen","6792000812",12.5617494,55.6713478
"Coco Hotel","7003057092",12.556593,55.6723901
"Villa Copenhagen","7179104554",12.5677356,55.6714034
"Bryggen Guldesmeden Hotels","7277910917",12.5791082,55.6624151
"Kanalhuset","7289754640",12.595033,55.67452
"Go Hotel City","7711964792",12.624615,55.664172
"Four Points Flex by Sheraton Copenhagen Arena","8089020102",12.577203,55.625586
"Eric Vökel Boutique Apartments","8119069627",12.5636125,55.6709396
"A-Hotels City","8119069632",12.557274,55.6723846
"Scandic Webers Hotel","8371104024",12.5608649,55.673118
"Zoku Copenhagen","8378434763",12.5918803,55.6566126
"Scandic Nørreport","9661473425",12.5717839,55.6838015
"25Hours","9895486153",12.5771263,55.6816539
"Apēron Apartment Hotel","10238925583",12.5754536,55.6823105
"Ibis Styles Copenhagen Ørestad","10833912065",12.5831317,55.6371284
"CPH Hotel","11036809338",12.5640893,55.6689146
"Brik Apartment Hotel","11813571331",12.6194108,55.6646556
"Hotel Bethel","11880797233",12.5907444,55.6794823
"Hotel Bella Grande","12097446278",12.5676777,55.6775123
"25hours Hotel Paper Island","12331139528",12.5996598,55.6793152
"Crowne Plaza Copenhagen Towers","12831796281",12.5771785,55.6269452
